№,▼▲,ФИО,Клуб,AG,Место в AG,Империал Индор Триатлон,Зимний триатлон. Логойск,Зимний дуатлон. Логойск,Минск Индор Триатлон,Дуатлон. Дрогичин,Триатлон МогиЛев,Олимпийка. Брест,Кросс-триатлон. У Ганны,Спринт. Гомель,Спринт. Святск,Полная. Минский Триатлон,Половинка. Минский Триатлон,Олимпийка. Минский Триатлон,Спринт. Минский Триатлон,Сумма
1,−0,Викентьева Елена Александровна,-,40-49,,,,,630.13,622.81,637.32,723.82,,,700.0,1000.0,,,,3676.76
2,▲3,Науменко Анна Александровна,-,30-39,,559.75,,,582.42,565.5,598.81,,,657.95,666.16,,,683.99,,3156.02
3,▼1,Врублевская Юлия Николаевна,Grebenstar,30-39,,700.0,,,700.0,700.0,,800.0,,,,,900.0,,,3100.00
4,▲2,Кузнецова Марина Алексеевна,-,18-29,1,592.35,,,601.21,499.93,587.35,,518.02,,644.75,,,698.64,,3036.88
5,▲4,Клебанович Виктория Николаевна,Tristyle,30-39,1,644.2,,,683.13,,700.0,,700.0,,,,,800.0,,2883.13
6,▼3,Черемисинова Анна Александровна,Anaerobe,30-39,2,,700.0,,,,683.36,727.31,649.37,,,,751.02,,,2861.69
7,▲4,Медведева Илонна Александровна,СК Сож,30-39,3,,,,,656.09,,680.38,,700.0,,,794.21,,,2830.68
8,▼1,Матвийко Надежда Геннадьевна,-,40-49,1,524.2,,,,523.07,571.37,571.89,,,,,626.58,,,2817.11
9,▼5,Марзан Ольга Леонидовна,Altius,40-49,2,491.6,,,503.39,457.09,490.41,435.26,487.0,596.91,530.19,,423.65,,,2522.84
10,▲3,Филимонова Виктория Михайловна,—,18-29,2,,,,499.05,493.49,594.73,,,,,,,,700.0,2287.27
11,▼3,Гаврилова Алла Владиславовна,FARTLEK RUNNING CLUB,50+,1,502.47,,,,395.73,447.62,396.3,396.84,,,,,,516.21,2258.33
12,▼2,Безнощенко Виктория Владимировна,Tristyle,30-39,4,,,,436.4,348.43,596.6,,,678.99,,,,,659.56,2123.38
13,▲2,Войтович Мария Александровна,Прочерк,30-39,5,439.26,,,434.96,,,,,,534.95,,,477.05,,1886.22
14,▲3,Ковалёва Диана Васильевна,RunStudio,30-39,6,621.48,,,625.79,,,,,,,,,622.35,,1869.62
15,▲1,Моисеева Вероника Сергеевна,Падабайка-RUN,40-49,3,424.94,237.5,,,,457.28,,,430.77,,,,511.4,,1824.39
16,▲2,Адамович Ирина Антоновна,Виктория/DRC,50+,2,533.09,,,529.89,,,,,,,,,629.41,,1692.39
17,▼5,Попова Светлана Владимировна,Tristyle,50+,3,533.09,,,548.2,565.5,,,,,,,,,,1646.79
18,▼4,Ванчук Оксана Валентиновна,Tristyle,40-49,4,510.86,,,584.35,,,479.3,,,,,,482.63,,1577.84
19,▲3,Вечорко Елена Сергеевна,-,40-49,5,,,,614.7,,,,,,,,768.12,,,1382.82
20,−0,Цацарина Екатерина Вадимовна,-,30-39,7,,392.47,,,,,,,558.18,,,356.26,,,1306.91
21,▲3,Коротыш Ирина Владимировна,Тристайл,40-49,6,,,,,573.62,,,,,,,,,669.24,1242.86
22,▲1,Адамович Ирина Владимировна,TRISTYLE,50+,4,,,,592.06,,,,,,,,,634.36,,1226.42
23,▼4,Борисова Анастасия Валентиновна,БФТ,18-29,3,,,,471.58,,488.89,,,,,,,,,960.47
24,▲1,Малаховская Татьяна Игоревна,-,30-39,8,,,,,,,,,,,882.37,,,,882.37
25,▼4,Шеремет Евгения Николаевна,-,40-49,7,,,700.0,,,,,,,,,,,,700.00
26,▼1,Войтик Татьяна Николаевна,S-sportas,40-49,8,,,,,,,,,,,,,,,0.00
26,▼1,Гарбар Ирина Александровна,-,40-49,8,,,,,,,,,,,,,,,0.00
26,▼1,Куделко Екатерина Анатольевна,Tristyle,40-49,8,,,,,,,,,,,,,,,0.00
26,▼1,Иванова Кристина Вячеславовна,Tristyle,40-49,8,,,,,,,,,,,,,,,0.00
26,▼1,Малахова Дарья Александровна,Tristyle,40-49,8,,,,,,,,,,,,,,,0.00
26,▼1,Аксёнова Виктория Геннадьевна,-,30-39,9,,,,,,,,,,,,,,,0.00
26,▼1,Пушкина Ольга Игоревна,-,50+,5,,,,,,,,,,,,,,,0.00
